Year,Month,Category,Material Type,Weight (lbs)
2005,Jan,Recycle,R-Mixed recycling,"43,857"
2005,Feb,Recycle,R-Mixed recycling,"38,734"
2005,Mar,Recycle,R-Mixed recycling,"41,562"
2005,Apr,Recycle,R-Mixed recycling,"41,390"
2005,May,Recycle,R-Mixed recycling,"51,570"
2005,Jun,Recycle,R-Mixed recycling,"52,310"
2005,Jul,Recycle,R-Mixed recycling,"16,900"
2005,Aug,Recycle,R-Mixed recycling,"51,640"
2005,Sep,Recycle,R-Mixed recycling,"52,655"
2005,Oct,Recycle,R-Mixed recycling,"45,376"
2005,Nov,Recycle,R-Mixed recycling,"47,454"
2005,Dec,Recycle,R-Mixed recycling,"28,200"
2005,Jan,Landfill,L-Landfill,"244,980"
2005,Feb,Landfill,L-Landfill,"195,980"
2005,Mar,Landfill,L-Landfill,"190,340"
2005,Apr,Landfill,L-Landfill,"274,060"
2005,May,Landfill,L-Landfill,"226,340"
2005,Jun,Landfill,L-Landfill,"306,820"
2005,Jul,Landfill,L-Landfill,"126,700"
2005,Aug,Landfill,L-Landfill,"218,540"
2005,Sep,Landfill,L-Landfill,"243,480"
2005,Oct,Landfill,L-Landfill,"245,920"
2005,Nov,Landfill,L-Landfill,"243,000"
2005,Dec,Landfill,L-Landfill,"170,900"
2006,Jan,Recycle,R-Mixed recycling,"42,515"
2006,Feb,Recycle,R-Mixed recycling,"34,395"
2006,Mar,Recycle,R-Mixed recycling,"50,976"
2006,Apr,Recycle,R-Mixed recycling,"46,795"
2006,May,Recycle,R-Mixed recycling,"59,962"
2006,Jun,Recycle,R-Mixed recycling,"42,600"
2006,Jul,Recycle,R-Mixed recycling,"36,530"
2006,Aug,Recycle,R-Mixed recycling,"41,090"
2006,Sep,Recycle,R-Mixed recycling,"51,775"
2006,Oct,Recycle,R-Mixed recycling,"56,995"
2006,Nov,Recycle,R-Mixed recycling,"7,540"
2006,Dec,Recycle,R-Mixed recycling,"8,826"
2006,Jan,Landfill,L-Landfill,"253,780"
2006,Feb,Landfill,L-Landfill,"226,980"
2006,Mar,Landfill,L-Landfill,"242,760"
2006,Apr,Landfill,L-Landfill,"218,520"
2006,May,Landfill,L-Landfill,"304,480"
2006,Jun,Landfill,L-Landfill,"287,400"
2006,Jul,Landfill,L-Landfill,"135,460"
2006,Aug,Landfill,L-Landfill,"197,360"
2006,Sep,Landfill,L-Landfill,"267,520"
2006,Oct,Landfill,L-Landfill,"322,680"
2006,Nov,Landfill,L-Landfill,"239,420"
2006,Dec,Landfill,L-Landfill,"160,960"
2007,Jan,Recycle,R-Mixed recycling,"61,710"
2007,Feb,Recycle,R-Mixed recycling,"30,520"
2007,Mar,Recycle,R-Mixed recycling,"43,339"
2007,Apr,Recycle,R-Mixed recycling,"32,180"
2007,May,Recycle,R-Mixed recycling,"28,670"
2007,Jun,Recycle,R-Mixed recycling,"46,749"
2007,Jul,Recycle,R-Mixed recycling,"61,260"
2007,Aug,Recycle,R-Mixed recycling,"27,580"
2007,Sep,Recycle,R-Mixed recycling,"34,920"
2007,Oct,Recycle,R-Mixed recycling,"52,863"
2007,Nov,Recycle,R-Mixed recycling,"34,060"
2007,Dec,Recycle,R-Mixed recycling,"31,488"
2007,Jan,Landfill,L-Landfill,"219,740"
2007,Feb,Landfill,L-Landfill,"225,620"
2007,Mar,Landfill,L-Landfill,"244,440"
